Entry	Entry name	Status	Protein names	Gene names	Gene names  (primary )	Gene names  (ORF )
B6K495	B6K495_SCHJY	unreviewed	Poly(A) binding protein Nab2	SJAG_03448		SJAG_03448
B6K7Y9	B6K7Y9_SCHJY	unreviewed	Elongation factor 2	SJAG_04862		SJAG_04862
B6K825	B6K825_SCHJY	unreviewed	Calmodulin Cam1	SJAG_04901		SJAG_04901
B6JZB7	B6JZB7_SCHJY	unreviewed	3-oxoacyl-[acyl-carrier-protein] synthase	SJAG_01946		SJAG_01946
B6K5B2	B6K5B2_SCHJY	unreviewed	60S ribosomal export protein NMD3	SJAG_03882		SJAG_03882
B6K3C1	B6K3C1_SCHJY	unreviewed	Uncharacterized protein	SJAG_03105		SJAG_03105
B6JUX2	B6JUX2_SCHJY	unreviewed	CDK inhibitor Srw1	SJAG_00071		SJAG_00071
B6K087	B6K087_SCHJY	unreviewed	GYF domain-containing protein	SJAG_01279		SJAG_01279
B6K0R1	B6K0R1_SCHJY	unreviewed	WD repeat containing cyclophilin family peptidyl-prolyl cis-trans isomerase Cyp9	SJAG_02620		SJAG_02620
B6K608	B6K608_SCHJY	unreviewed	Membrane transporter	SJAG_04134		SJAG_04134
B6JWM9	B6JWM9_SCHJY	unreviewed	RhoGEF Gef2	SJAG_00807		SJAG_00807
B6K4N1	B6K4N1_SCHJY	unreviewed	Nucleoporin Nup40	SJAG_03593		SJAG_03593
B6K0M9	B6K0M9_SCHJY	unreviewed	Prevacuole/endosomal FYVE tethering component Pep7	SJAG_02587		SJAG_02587
B6JZS8	B6JZS8_SCHJY	unreviewed	Translation initiation factor eIF1	SJAG_01117		SJAG_01117
B6K5Q8	B6K5Q8_SCHJY	unreviewed	rRNA processing protein Enp2	SJAG_04033		SJAG_04033
B6K027	B6K027_SCHJY	unreviewed	Glutathione peroxidase	SJAG_01216		SJAG_01216
B6JXK2	B6JXK2_SCHJY	unreviewed	GRIP domain-containing protein	SJAG_00144		SJAG_00144
B6K7K1	B6K7K1_SCHJY	unreviewed	Membrane transporter	SJAG_04715		SJAG_04715
B6JZL8	B6JZL8_SCHJY	unreviewed	ATP-dependent RNA/DNA helicase	SJAG_02061		SJAG_02061
B6K6J4	B6K6J4_SCHJY	unreviewed	Glycosyl hydrolase family 16	SJAG_04327		SJAG_04327
B6JWX7	B6JWX7_SCHJY	unreviewed	Acyl-CoA thioesterase	SJAG_00902		SJAG_00902
B6JVH0	B6JVH0_SCHJY	unreviewed	4-methyl-5-beta-hydroxyethylthiazole kinase (EC 2.5.1.3) (EC 2.7.1.50) (Thiamine-phosphate pyrophosphorylase) (Thiamine-phosphate synthase)	SJAG_00381		SJAG_00381
B6JXC4	B6JXC4_SCHJY	unreviewed	CUE domain-containing protein Cue1/4 family protein	SJAG_01051		SJAG_01051
B6K1T4	B6K1T4_SCHJY	unreviewed	IPT/TIG ankyrin repeat protein	SJAG_02196		SJAG_02196
B6K331	B6K331_SCHJY	unreviewed	Ureidoglycolate hydrolase	SJAG_05287		SJAG_05287
B6K3T3	B6K3T3_SCHJY	unreviewed	UBA/TPR/DNAJ domain-containing protein Ucp7	SJAG_05296		SJAG_05296
B6JY89	B6JY89_SCHJY	unreviewed	40S ribosomal protein S14	SJAG_01548		SJAG_01548
B6K3Z0	B6K3Z0_SCHJY	unreviewed	Fungal protein	SJAG_03337		SJAG_03337
B6JYA0	B6JYA0_SCHJY	unreviewed	Autophagy associated protein Atg3	SJAG_01561		SJAG_01561
B6K191	B6K191_SCHJY	unreviewed	RNA polymerase I upstream activation factor complex subunit Rrn7	SJAG_02813		SJAG_02813
T0T6J2	T0T6J2_SCHJY	unreviewed	Uncharacterized protein	SJAG_05920		SJAG_05920
B6K1X5	B6K1X5_SCHJY	unreviewed	Uncharacterized protein	SJAG_02238		SJAG_02238
B6K573	B6K573_SCHJY	unreviewed	TATA element modulatory factor	SJAG_03842		SJAG_03842
B6K488	B6K488_SCHJY	unreviewed	Clr6 L associated factor 1 Laf1	SJAG_03441		SJAG_03441
T0S361	T0S361_SCHJY	unreviewed	Uncharacterized protein	SJAG_06588		SJAG_06588
B6JW88	B6JW88_SCHJY	unreviewed	Glutamate-5-semialdehyde dehydrogenase (EC 1.2.1.41) (Glutamyl-gamma-semialdehyde dehydrogenase)	SJAG_00660		SJAG_00660
B6K3Y5	B6K3Y5_SCHJY	unreviewed	SAM-dependent methyltransferase	SJAG_03332		SJAG_03332
T0RSX3	T0RSX3_SCHJY	unreviewed	Zn(2)-C6 fungal-type domain-containing protein	SJAG_06576		SJAG_06576
B6K257	B6K257_SCHJY	unreviewed	DUF221 family protein	SJAG_02322		SJAG_02322
B6K5Z0	B6K5Z0_SCHJY	unreviewed	Respiratory chain complex assembly protein	SJAG_04116		SJAG_04116
B6JYE6	B6JYE6_SCHJY	unreviewed	Uncharacterized protein	SJAG_01607		SJAG_01607
B6JUZ4	B6JUZ4_SCHJY	unreviewed	Nuclear pore protein	SJAG_00093		SJAG_00093
T0S184	T0S184_SCHJY	unreviewed	Uncharacterized protein	SJAG_06596		SJAG_06596
B6JXA0	B6JXA0_SCHJY	unreviewed	Elongator complex associated protein Kti2	SJAG_01024		SJAG_01024
B6K842	B6K842_SCHJY	unreviewed	Ribosomal protein subunit S19	SJAG_04918		SJAG_04918
B6K0A0	B6K0A0_SCHJY	unreviewed	Zf-HIT protein Hit1	SJAG_05223		SJAG_05223
B6K3K5	B6K3K5_SCHJY	unreviewed	Uncharacterized protein	SJAG_05292		SJAG_05292
B6JYT5	B6JYT5_SCHJY	unreviewed	Adenylyl cyclase-associated protein	SJAG_01754		SJAG_01754
B6K697	B6K697_SCHJY	unreviewed	U3 snoRNP-associated protein Utp13	SJAG_04224		SJAG_04224
B6K3I2	B6K3I2_SCHJY	unreviewed	Phosphoribosylanthranilate transferase Trp4	SJAG_03167		SJAG_03167
B6K0X7	B6K0X7_SCHJY	unreviewed	CLIP170 family protein Tip1	SJAG_02695		SJAG_02695
B6K4N3	B6K4N3_SCHJY	unreviewed	MFS myo-inositol transporter	SJAG_03595		SJAG_03595
B6K2W1	B6K2W1_SCHJY	unreviewed	Serine hydrolase	SJAG_03760		SJAG_03760
B6K6I4	B6K6I4_SCHJY	unreviewed	Cardiolipin synthase/hydrolase fusion protein	SJAG_04317		SJAG_04317
B6K0G7	B6K0G7_SCHJY	unreviewed	HECT-type E3 ubiquitin transferase (EC 2.3.2.26)	SJAG_01360		SJAG_01360
B6K7B5	B6K7B5_SCHJY	unreviewed	Shugoshin Sgo2	SJAG_04623		SJAG_04623
B6JVA8	B6JVA8_SCHJY	unreviewed	Ribosomal protein subunit L38	SJAG_00315		SJAG_00315
B6K8B3	B6K8B3_SCHJY	unreviewed	Ubiquitin-protein ligase E3	SJAG_04990		SJAG_04990
B6K141	B6K141_SCHJY	unreviewed	Lipin Ned1	SJAG_02763		SJAG_02763
B6K0C7	B6K0C7_SCHJY	unreviewed	Spore wall assembly peptidase Mde10	SJAG_01321		SJAG_01321
B6K4U1	B6K4U1_SCHJY	unreviewed	U3 snoRNP protein Nop14	SJAG_03654		SJAG_03654
B6K214	B6K214_SCHJY	unreviewed	Rho-type GTPase activating protein Rga2	SJAG_02278		SJAG_02278
B6K4M4	B6K4M4_SCHJY	unreviewed	Vacuolar carboxypeptidase	SJAG_03586		SJAG_03586
B6JZC3	B6JZC3_SCHJY	unreviewed	Mediator complex subunit Pmc3/Med27	SJAG_01952		SJAG_01952
B6K3D9	B6K3D9_SCHJY	unreviewed	Cell wall biosynthesis/cell cycle regulator	SJAG_03123		SJAG_03123
B6K2X6	B6K2X6_SCHJY	unreviewed	Galactokinase (EC 2.7.1.6) (Galactose kinase)	SJAG_02950		SJAG_02950
B6K4W5	B6K4W5_SCHJY	unreviewed	Pantoate--beta-alanine ligase (EC 6.3.2.1) (Pantoate-activating enzyme) (Pantothenate synthetase)	SJAG_03679		SJAG_03679
B6K792	B6K792_SCHJY	unreviewed	AAA family ATPase Rix7	SJAG_04599		SJAG_04599
B6K7X3	B6K7X3_SCHJY	unreviewed	60S acidic ribosomal protein P0	SJAG_04847		SJAG_04847
B6JV81	B6JV81_SCHJY	unreviewed	FAD-dependent oxidoreductase	SJAG_00287		SJAG_00287
B6JVM5	B6JVM5_SCHJY	unreviewed	RSC complex subunit Rsc4	SJAG_00440		SJAG_00440
B6K106	B6K106_SCHJY	unreviewed	Replication fork protection complex subunit Swi1	SJAG_02724		SJAG_02724
B6K5B6	B6K5B6_SCHJY	unreviewed	AAA domain-containing protein	SJAG_03886		SJAG_03886
B6JWX1	B6JWX1_SCHJY	unreviewed	Ash2-trithorax family protein	SJAG_00896		SJAG_00896
B6K0N1	B6K0N1_SCHJY	unreviewed	SWI/SNF and RSC complex subunit Ssr1	SJAG_02589		SJAG_02589
B6K248	B6K248_SCHJY	unreviewed	Phosphoglycerate dehydrogenase (EC 1.1.1.95)	SJAG_02313		SJAG_02313
B6K2N5	B6K2N5_SCHJY	unreviewed	Proteasome subunit alpha type	SJAG_02502		SJAG_02502
B6K4V0	B6K4V0_SCHJY	unreviewed	[Histone-H3]-lysine-36 demethylase 1 (EC 1.14.11.27)	SJAG_03664		SJAG_03664
B6K5P3	B6K5P3_SCHJY	unreviewed	Ribosomal protein subunit L3	SJAG_04019		SJAG_04019
B6JVT0	B6JVT0_SCHJY	unreviewed	Zinc finger protein Sap62	SJAG_00498		SJAG_00498
B6JYC0	B6JYC0_SCHJY	unreviewed	Las1-like protein	SJAG_01581		SJAG_01581
B6K5X3	B6K5X3_SCHJY	unreviewed	Dihydroxy-acid dehydratase	SJAG_04098		SJAG_04098
B6K8H4	B6K8H4_SCHJY	unreviewed	Chromo domain-containing protein (Fragment)	SJAG_05161		SJAG_05161
B6K4D5	B6K4D5_SCHJY	unreviewed	Integral inner nuclear membrane protein Ima1	SJAG_03491		SJAG_03491
B6JXW7	B6JXW7_SCHJY	unreviewed	BRCT domain-containing protein	SJAG_01429		SJAG_01429
B6K5I2	B6K5I2_SCHJY	unreviewed	DNA-directed RNA polymerase I complex subunit Rpa49	SJAG_03956		SJAG_03956
B6K0F6	B6K0F6_SCHJY	unreviewed	Initiator methionine tRNA 2'-O-ribosyl phosphate transferase	SJAG_05228		SJAG_05228
B6JYJ0	B6JYJ0_SCHJY	unreviewed	Maf-like protein	SJAG_01651		SJAG_01651
B6JVV4	B6JVV4_SCHJY	unreviewed	Actin cytoskeleton-regulatory complex protein SLA1	SJAG_00521		SJAG_00521
B6K0P2	B6K0P2_SCHJY	unreviewed	DNA-directed RNA polymerase III complex subunit Rpc25	SJAG_02600		SJAG_02600
B6K2C4	B6K2C4_SCHJY	unreviewed	CMGC/DYRK/DYRK2 protein kinase Pom1	SJAG_02392		SJAG_02392
B6JXB7	B6JXB7_SCHJY	unreviewed	Holliday junction resolvase subunit Mus81	SJAG_01044		SJAG_01044
B6JY31	B6JY31_SCHJY	unreviewed	Ubiquinol-cytochrome-c reductase complex subunit 8	SJAG_01490		SJAG_01490
B6K7D3	B6K7D3_SCHJY	unreviewed	Peptidase(MPP) complex alpha subunit Mas2	SJAG_04641		SJAG_04641
B6K702	B6K702_SCHJY	unreviewed	Fungal family protein	SJAG_04503		SJAG_04503
B6K468	B6K468_SCHJY	unreviewed	Cmgc/cdk/pitslre protein kinase Ppk23	SJAG_03421		SJAG_03421
B6JYB7	B6JYB7_SCHJY	unreviewed	Fungal protein	SJAG_01578		SJAG_01578
B6K5Y6	B6K5Y6_SCHJY	unreviewed	Uncharacterized protein	SJAG_04112		SJAG_04112
B6K0P0	B6K0P0_SCHJY	unreviewed	ATP synthase subunit beta (EC 7.1.2.2)	SJAG_02598		SJAG_02598
B6K410	B6K410_SCHJY	unreviewed	Exocyst complex component EXO84	SJAG_03357		SJAG_03357
B6K824	B6K824_SCHJY	unreviewed	Eukaryotic translation initiation factor 3 30 kDa subunit	SJAG_04900		SJAG_04900
B6JXB6	B6JXB6_SCHJY	unreviewed	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial (EC 2.1.1.201) (Ubiquinone biosynthesis methyltransferase COQ5)	COQ5 SJAG_01043	COQ5	SJAG_01043
B6K0J2	B6K0J2_SCHJY	unreviewed	Sad1 interacting factor 2	SJAG_02548		SJAG_02548
B6K3Y9	B6K3Y9_SCHJY	unreviewed	6-phosphofructo-2-kinase	SJAG_03336		SJAG_03336
B6K5H6	B6K5H6_SCHJY	unreviewed	NEDD8-activating enzyme E1 regulatory subunit	SJAG_03950		SJAG_03950
B6K324	B6K324_SCHJY	unreviewed	E3 ubiquitin protein ligase (EC 2.3.2.27)	SJAG_03006		SJAG_03006
B6JXK7	B6JXK7_SCHJY	unreviewed	AA_permease domain-containing protein	SJAG_00149		SJAG_00149
B6K1K6	B6K1K6_SCHJY	unreviewed	Tre1 family protein	SJAG_02117		SJAG_02117
B6K367	B6K367_SCHJY	unreviewed	Fungal protein	SJAG_03049		SJAG_03049
B6JVC1	B6JVC1_SCHJY	unreviewed	Cation diffusion family zinc membrane transporter Cis4	SJAG_00328		SJAG_00328
B6JZD4	B6JZD4_SCHJY	unreviewed	Uncharacterized protein	SJAG_01965		SJAG_01965
B6K1J5	B6K1J5_SCHJY	unreviewed	Tetraspan protein Dni1	SJAG_02924		SJAG_02924
B6JX28	B6JX28_SCHJY	unreviewed	RNase P subunit	SJAG_00955		SJAG_00955
B6K3X5	B6K3X5_SCHJY	unreviewed	19S proteasome regulatory subunit Rpn502	SJAG_03321		SJAG_03321
B6JZJ0	B6JZJ0_SCHJY	unreviewed	DUF757 family protein	SJAG_02030		SJAG_02030
B6K187	B6K187_SCHJY	unreviewed	Mitochondrial inner membrane protease subunit 2	SJAG_02809		SJAG_02809
T0RSU8	T0RSU8_SCHJY	unreviewed	Uncharacterized protein	SJAG_06212		SJAG_06212
B6K7B3	B6K7B3_SCHJY	unreviewed	Alpha-actinin	SJAG_04621		SJAG_04621
B6K8B9	B6K8B9_SCHJY	unreviewed	TOM complex subunit Tom70	SJAG_04996		SJAG_04996
T0S140	T0S140_SCHJY	unreviewed	Uncharacterized protein	SJAG_06392		SJAG_06392
B6JXM8	B6JXM8_SCHJY	unreviewed	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)	SJAG_00168		SJAG_00168
B6K576	B6K576_SCHJY	unreviewed	Cell cycle transcriptional repressor Whi5	SJAG_03845		SJAG_03845
B6K884	B6K884_SCHJY	unreviewed	Phosphoric monoester hydrolase	SJAG_04964		SJAG_04964
B6K6K5	B6K6K5_SCHJY	unreviewed	Erd1	SJAG_04340		SJAG_04340
B6K1R5	B6K1R5_SCHJY	unreviewed	ENTH/VHS domain-containing protein Ent3	SJAG_02177		SJAG_02177
B6K737	B6K737_SCHJY	unreviewed	ERCC-8 DNA repair	SJAG_04540		SJAG_04540
T0T6D1	T0T6D1_SCHJY	unreviewed	Uncharacterized protein	SJAG_05573		SJAG_05573
B6JUT2	B6JUT2_SCHJY	unreviewed	Hexose transporter Ght2	SJAG_00057		SJAG_00057
B6K3G9	B6K3G9_SCHJY	unreviewed	Protein transport protein SEC23	SJAG_03153		SJAG_03153
B6JXY6	B6JXY6_SCHJY	unreviewed	Uncharacterized protein	SJAG_01446		SJAG_01446
B6K3R9	B6K3R9_SCHJY	unreviewed	V-type ATPase V0 subunit E	SJAG_05294		SJAG_05294
B6JXG6	B6JXG6_SCHJY	unreviewed	Ribosomal protein subunit L51-b	SJAG_00105		SJAG_00105
B6K021	B6K021_SCHJY	unreviewed	CDK inhibitor Rum1	SJAG_01210		SJAG_01210
B6K287	B6K287_SCHJY	unreviewed	ER protein translocation subcomplex subunit Sec66	SJAG_02354		SJAG_02354
B6K0F9	B6K0F9_SCHJY	unreviewed	Diadenosine tetraphosphate synthetase (EC 6.1.1.14)	SJAG_01352		SJAG_01352
T0RSS5	T0RSS5_SCHJY	unreviewed	Uncharacterized protein	SJAG_05629		SJAG_05629
B6JZR7	B6JZR7_SCHJY	unreviewed	Uncharacterized protein	SJAG_01095		SJAG_01095
B6K5C0	B6K5C0_SCHJY	unreviewed	RNA-binding protein	SJAG_03890		SJAG_03890
B6JYB2	B6JYB2_SCHJY	unreviewed	WDR70 family WD repeat protein	SJAG_01573		SJAG_01573
B6K7J3	B6K7J3_SCHJY	unreviewed	Nicotinic acid plasma membrane transporter	SJAG_04706		SJAG_04706
B6JZC8	B6JZC8_SCHJY	unreviewed	1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	SJAG_01957		SJAG_01957
B6K3X3	B6K3X3_SCHJY	unreviewed	DUF1752 family protein	SJAG_03319		SJAG_03319
B6K1H3	B6K1H3_SCHJY	unreviewed	Phosphatidylserine decarboxylase proenzyme 2 (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase 2 beta chain; Phosphatidylserine decarboxylase 2 alpha chain]	PSD2 SJAG_02902	PSD2	SJAG_02902
B6JYT8	B6JYT8_SCHJY	unreviewed	Uncharacterized protein	SJAG_01757		SJAG_01757
B6K6M3	B6K6M3_SCHJY	unreviewed	Cytoplasm protein	SJAG_04359		SJAG_04359
B6K2B9	B6K2B9_SCHJY	unreviewed	Uncharacterized protein	SJAG_02387		SJAG_02387
B6K0C9	B6K0C9_SCHJY	unreviewed	Ribosome biogenesis protein Rrp12	SJAG_01323		SJAG_01323
B6K6I6	B6K6I6_SCHJY	unreviewed	Diacylglycerol ethanolaminesphotransferase	SJAG_04319		SJAG_04319
B6K277	B6K277_SCHJY	unreviewed	Spermine family transporter	SJAG_02344		SJAG_02344
B6K361	B6K361_SCHJY	unreviewed	60S ribosomal protein L43-B	SJAG_03043		SJAG_03043
B6JYY5	B6JYY5_SCHJY	unreviewed	Transcription factor TFIID complex subunit Taf7	SJAG_01808		SJAG_01808
B6K6V1	B6K6V1_SCHJY	unreviewed	Palmitoyltransferase (EC 2.3.1.225)	SJAG_04451		SJAG_04451
B6K724	B6K724_SCHJY	unreviewed	GRIP domain-containing protein	SJAG_04528		SJAG_04528
B6JWC6	B6JWC6_SCHJY	unreviewed	BAR adaptor protein Hob3	SJAG_00700		SJAG_00700
B6K369	B6K369_SCHJY	unreviewed	SWIM domain containing-Srs2 interacting protein 1	SJAG_03051		SJAG_03051
B6K0F5	B6K0F5_SCHJY	unreviewed	Ras modification protein ERF4	SJAG_01349		SJAG_01349
B6K173	B6K173_SCHJY	unreviewed	Pyruvate kinase (EC 2.7.1.40)	SJAG_02796		SJAG_02796
B6K0Z2	B6K0Z2_SCHJY	unreviewed	Uncharacterized protein	SJAG_02710		SJAG_02710
B6K3Q1	B6K3Q1_SCHJY	unreviewed	Transcription factor Sfp1	SJAG_03241		SJAG_03241
B6K6U2	B6K6U2_SCHJY	unreviewed	Usp family protein	SJAG_04431		SJAG_04431
B6K379	B6K379_SCHJY	unreviewed	WDR8 family WD repeat protein	SJAG_03062		SJAG_03062
B6K7E8	B6K7E8_SCHJY	unreviewed	dTMP kinase (EC 2.7.4.9)	SJAG_04657		SJAG_04657
B6JZ89	B6JZ89_SCHJY	unreviewed	Fungal protein	SJAG_01915		SJAG_01915
B6JX15	B6JX15_SCHJY	unreviewed	UV excision repair protein RAD23	SJAG_00941		SJAG_00941
B6JXJ8	B6JXJ8_SCHJY	unreviewed	CAP-Gly domain-containing protein	SJAG_00140		SJAG_00140
B6K5S6	B6K5S6_SCHJY	unreviewed	NAK protein kinase Ppk38	SJAG_04052		SJAG_04052
B6K479	B6K479_SCHJY	unreviewed	WDR44 family WD repeat protein	SJAG_03432		SJAG_03432
B6K766	B6K766_SCHJY	unreviewed	19S proteasome regulatory subunit Rpn3	SJAG_04572		SJAG_04572
B6JZH5	B6JZH5_SCHJY	unreviewed	Leucyl-tRNA synthetase (EC 6.1.1.4)	SJAG_02015		SJAG_02015
B6JWG7	B6JWG7_SCHJY	unreviewed	SWI/SNF complex subunit Snf30	SJAG_00743		SJAG_00743
B6K780	B6K780_SCHJY	unreviewed	F-box protein Pof8	SJAG_04586		SJAG_04586
B6JWU8	B6JWU8_SCHJY	unreviewed	Ino80 complex subunit Iec3	SJAG_00873		SJAG_00873
B6JUY7	B6JUY7_SCHJY	unreviewed	Ribosomal protein subunit L17	SJAG_00086		SJAG_00086
B6K6Z5	B6K6Z5_SCHJY	unreviewed	Restriction of telomere capping protein 1	SJAG_04496		SJAG_04496
B6JVX3	B6JVX3_SCHJY	unreviewed	CGI-48 family protein	SJAG_00538		SJAG_00538
B6JZF2	B6JZF2_SCHJY	unreviewed	Vacuolar membrane zinc transporter	SJAG_01990		SJAG_01990
B6K456	B6K456_SCHJY	unreviewed	Kinase (EC 2.7.-.-)	SJAG_03409		SJAG_03409
B6K4U5	B6K4U5_SCHJY	unreviewed	Iron-sulfur protein	SJAG_03658		SJAG_03658
B6K0J4	B6K0J4_SCHJY	unreviewed	DUF1941 family protein	SJAG_02550		SJAG_02550
B6K5N5	B6K5N5_SCHJY	unreviewed	COP9/signalosome complex subunit Csn1	SJAG_04011		SJAG_04011
B6K2Z1	B6K2Z1_SCHJY	unreviewed	Iron/zinc ion transporter	SJAG_02968		SJAG_02968
B6K2I0	B6K2I0_SCHJY	unreviewed	Threonine aldolase	SJAG_02450		SJAG_02450
B6K0Z3	B6K0Z3_SCHJY	unreviewed	Alpha-1,6-mannanase	SJAG_02711		SJAG_02711
B6JZY2	B6JZY2_SCHJY	unreviewed	Glucan 1,3-beta-glucosidase	SJAG_01171		SJAG_01171
B6K1C6	B6K1C6_SCHJY	unreviewed	Ubiquitin-protein ligase E3	SJAG_02851		SJAG_02851
B6K6G7	B6K6G7_SCHJY	unreviewed	Hydantoin racemase family protein	SJAG_04298		SJAG_04298
B6K0N8	B6K0N8_SCHJY	unreviewed	6-phosphofructo-2-kinase	SJAG_02596		SJAG_02596
B6K125	B6K125_SCHJY	unreviewed	RNA polymerase I upstream activation factor complex subunit Spp27	SJAG_02747		SJAG_02747
B6JY55	B6JY55_SCHJY	unreviewed	Auxin family transmembrane transporter	SJAG_01514		SJAG_01514
B6JZJ6	B6JZJ6_SCHJY	unreviewed	Meiotic PUF family protein 1	SJAG_02036		SJAG_02036
T0TAX9	T0TAX9_SCHJY	unreviewed	Endoplasmic reticulum membrane protein	SJAG_06514		SJAG_06514
B6K6H4	B6K6H4_SCHJY	unreviewed	Proteasome subunit alpha type	SJAG_04306		SJAG_04306
B6JUV7	B6JUV7_SCHJY	unreviewed	Rho-type GTPase activating protein Rga6	SJAG_00028		SJAG_00028
B6JWU0	B6JWU0_SCHJY	unreviewed	tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein) (tRNA threonylcarbamoyladenosine biosynthesis protein)	SJAG_00865		SJAG_00865
B6K5A9	B6K5A9_SCHJY	unreviewed	Calcineurin responsive transcription factor Prz1	SJAG_03879		SJAG_03879
B6K5E1	B6K5E1_SCHJY	unreviewed	GTPase Ypt3	SJAG_03915		SJAG_03915
B6K0U3	B6K0U3_SCHJY	unreviewed	Mitochondrial DNA polymerase catalytic subunit (EC 2.7.7.7)	SJAG_02658		SJAG_02658
B6K7W0	B6K7W0_SCHJY	unreviewed	Uncharacterized protein	SJAG_04834		SJAG_04834
B6K8E6	B6K8E6_SCHJY	unreviewed	CTP synthase (EC 6.3.4.2) (UTP--ammonia ligase)	SJAG_05024		SJAG_05024
B6JZL0	B6JZL0_SCHJY	unreviewed	ADP/ATP translocase (ADP,ATP carrier protein)	SJAG_02050		SJAG_02050
B6JZV6	B6JZV6_SCHJY	unreviewed	Histone lysine methyltransferase Set9	SJAG_01146		SJAG_01146
B6JYB8	B6JYB8_SCHJY	unreviewed	Chromodomain protein 2	SJAG_01579		SJAG_01579
T0T6G5	T0T6G5_SCHJY	unreviewed	Chromo domain-containing protein (Fragment)	SJAG_06608		SJAG_06608
B6K0F2	B6K0F2_SCHJY	unreviewed	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase (EC 5.3.1.16) (5-proFAR isomerase) (Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase)	SJAG_01346		SJAG_01346
B6K5E6	B6K5E6_SCHJY	unreviewed	DNA-directed RNA polymerase III complex subunit Rpc37	SJAG_03921		SJAG_03921
B6K1Y6	B6K1Y6_SCHJY	unreviewed	SEC7 domain-containing protein	SJAG_02248		SJAG_02248
B6K1N8	B6K1N8_SCHJY	unreviewed	Transcription factor	SJAG_02149		SJAG_02149
B6K476	B6K476_SCHJY	unreviewed	Ubiquitin carboxyl-terminal hydrolase (EC 3.4.19.12)	SJAG_03429		SJAG_03429
B6K2A5	B6K2A5_SCHJY	unreviewed	DNA replication factor C complex subunit Ctf8	SJAG_02373		SJAG_02373
B6K389	B6K389_SCHJY	unreviewed	Glutamyl-tRNA synthetase (EC 6.1.1.17)	SJAG_03071		SJAG_03071
B6K6U1	B6K6U1_SCHJY	unreviewed	Uncharacterized protein	SJAG_04430		SJAG_04430
B6JVT5	B6JVT5_SCHJY	unreviewed	Homoisocitrate dehydrogenase	SJAG_00502		SJAG_00502
B6K7X5	B6K7X5_SCHJY	unreviewed	Guanylate kinase (EC 2.7.4.8)	SJAG_04849		SJAG_04849
B6K7G8	B6K7G8_SCHJY	unreviewed	Urease accessory protein UREG	SJAG_04679		SJAG_04679
B6K4A1	B6K4A1_SCHJY	unreviewed	DNA damage-binding protein 1	SJAG_03454		SJAG_03454
B6JW53	B6JW53_SCHJY	unreviewed	Holliday junction resolvase subunit Eme1	SJAG_00623		SJAG_00623
B6K3X8	B6K3X8_SCHJY	unreviewed	Peroxin-12	SJAG_03324		SJAG_03324
B6JYQ8	B6JYQ8_SCHJY	unreviewed	60S ribosomal protein L8	SJAG_01723		SJAG_01723
B6JZG4	B6JZG4_SCHJY	unreviewed	Protein yippee-like	SJAG_02003		SJAG_02003
B6K2M1	B6K2M1_SCHJY	unreviewed	Pig-F	SJAG_02488		SJAG_02488
B6K7F0	B6K7F0_SCHJY	unreviewed	Fungal protein	SJAG_04659		SJAG_04659
B6K1F3	B6K1F3_SCHJY	unreviewed	STE/STE20/PAKA protein kinase Shk2	SJAG_02878		SJAG_02878
B6K8D1	B6K8D1_SCHJY	unreviewed	U1 snRNP-associated protein Usp101	SJAG_05009		SJAG_05009
B6K126	B6K126_SCHJY	unreviewed	DNA mismatch repair protein	SJAG_02748		SJAG_02748
B6JVZ6	B6JVZ6_SCHJY	unreviewed	Ubiquitin-protein ligase E3	SJAG_00561		SJAG_00561
B6K7G2	B6K7G2_SCHJY	unreviewed	40S ribosomal protein S25	SJAG_04672		SJAG_04672
B6K236	B6K236_SCHJY	unreviewed	U3 snoRNA associted protein Dip2	SJAG_02300		SJAG_02300
B6JUY0	B6JUY0_SCHJY	unreviewed	Prohibitin	SJAG_00079		SJAG_00079
B6JWV0	B6JWV0_SCHJY	unreviewed	SCY1 protein kinase Ppk32	SJAG_00875		SJAG_00875
B6JXR2	B6JXR2_SCHJY	unreviewed	CK1/CK1/CK1-G protein kinase Cki3	SJAG_01373		SJAG_01373
B6K301	B6K301_SCHJY	unreviewed	Phosphatidylserine decarboxylase proenzyme 1, mitochondrial (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase 1 beta chain; Phosphatidylserine decarboxylase 1 alpha chain]	PSD1 SJAG_02980	PSD1	SJAG_02980
B6K7U3	B6K7U3_SCHJY	unreviewed	Uncharacterized protein	SJAG_04815		SJAG_04815
B6K787	B6K787_SCHJY	unreviewed	Mitochondrial pyruvate carrier	SJAG_04593		SJAG_04593
